price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age.at.sale,sqft_living15,sqft_lot15,renovated_yes
264500.0,3,1.5,1580,14040,1.0,0,0,3,7,1050,530,35,2240,12000,0
410000.0,3,1.0,1230,7020,1.0,0,0,3,7,1090,140,91,1390,5850,0
625000.0,2,1.5,1490,5750,1.5,0,0,4,7,1190,300,115,1590,4025,0
1060000.0,4,5.25,4140,14757,2.0,0,2,3,11,4140,0,10,4440,15523,0
307000.0,3,2.0,1790,7259,1.0,0,0,3,7,1390,400,35,1790,7700,0
879000.0,4,3.0,3590,89640,2.0,0,0,3,10,3590,0,10,2790,54014,0
422000.0,2,1.75,1320,2609,1.0,0,0,4,7,920,400,77,1200,4220,0
440000.0,3,2.5,1390,4997,2.0,0,0,3,7,1390,0,11,2340,4125,0
176000.0,2,1.0,920,2332,1.0,0,0,4,8,920,0,35,1310,2853,0
229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,55,1780,8113,0
350000.0,2,2.5,1280,940,2.0,0,0,3,8,1060,220,9,1290,2900,0
200000.0,2,1.0,1730,9610,1.0,0,0,3,7,1380,350,53,1310,9812,0
615000.0,4,1.5,1980,3240,1.5,0,0,4,8,1780,200,85,2250,4000,0
525000.0,4,2.5,2520,7731,2.0,0,0,3,9,2520,0,21,2000,7704,0
625000.0,4,2.25,2470,17008,2.0,0,0,4,8,2470,0,36,2470,31798,0
991500.0,4,3.0,3820,26895,2.0,0,2,3,11,3820,0,20,3820,24751,0
425000.0,3,2.5,1340,10018,1.0,0,0,4,7,1340,0,39,2520,13068,0
775000.0,4,2.5,2070,8473,1.0,0,0,4,8,1250,820,39,2070,9499,0
671500.0,3,2.5,1770,1714,3.0,0,0,3,8,1770,0,3,1720,3360,0
480000.0,5,2.5,2160,7737,2.0,0,0,3,7,2160,0,17,2460,7737,0
619400.0,4,2.0,2090,3610,1.5,0,0,5,7,1790,300,88,1660,3767,0
635000.0,4,3.25,3420,6752,2.0,0,2,3,9,3030,390,3,3010,5172,0
255000.0,2,1.0,1220,2500,1.0,0,0,3,6,770,450,105,1540,3000,0
705000.0,3,2.5,2820,7200,1.0,0,3,3,9,1780,1040,36,2300,7200,0
330000.0,4,2.0,1180,7275,1.0,0,0,3,7,1180,0,50,1210,7275,0
520000.0,2,1.0,1250,3708,1.5,0,0,3,7,1250,0,89,1430,3708,0
605500.0,3,2.5,2830,6536,2.0,0,0,3,9,2830,0,26,2710,6954,0
707500.0,3,1.0,1500,2555,2.0,0,2,3,7,1500,0,105,1820,2555,0
230000.0,3,1.75,1140,1165,2.0,0,0,3,8,1140,0,1,1150,1552,0
205000.0,3,1.0,1010,8800,1.0,0,0,4,7,1010,0,47,1550,7700,0
515000.0,3,2.5,1820,5280,1.0,0,0,4,7,910,910,66,1600,4820,0
357000.0,3,2.0,2460,53882,1.0,1,4,3,7,2460,0,60,2660,32625,0
244500.0,3,1.75,1210,8864,1.0,0,0,3,7,1210,0,30,1510,8062,0
278000.0,3,2.25,2120,9804,2.0,0,0,3,7,2120,0,21,2120,7200,0
650000.0,6,2.75,3610,10003,1.5,0,0,4,8,3610,0,49,2560,10004,0
441500.0,3,2.5,2360,4670,2.0,0,0,3,7,2360,0,17,2420,5620,0
280000.0,3,2.75,1740,5639,1.0,0,3,3,7,1740,0,5,2380,5331,0
607000.0,3,1.0,1230,8114,1.0,0,0,4,7,1230,0,64,2220,8114,0
380000.0,3,2.25,1600,39848,1.0,0,3,4,8,1600,0,57,1600,39848,0
600000.0,5,2.25,2760,6350,1.0,0,0,3,7,1380,1380,57,2060,6342,0
394999.0,3,1.5,1730,7800,1.0,0,0,3,7,1330,400,57,1780,8309,0
1580000.0,4,3.5,5830,131116,2.0,0,0,3,11,5830,0,10,5340,207206,0
267000.0,3,1.75,1440,10920,1.0,0,0,4,8,1440,0,38,1720,8260,0
625000.0,3,1.0,1240,4080,1.0,0,0,3,7,1240,0,90,2060,4080,0
650000.0,4,2.75,3260,5335,2.0,0,0,3,9,3260,0,12,3180,5438,0
415000.0,1,2.0,3000,204732,2.5,0,2,3,8,3000,0,36,2330,213008,0
