price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age.at.sale,renovated,sqft_living15,sqft_lot15
264500,3,1.5,1580,14040,1,0,0,3,7,1050,530,35,no,2240,12000
410000,3,1,1230,7020,1,0,0,3,7,1090,140,91,no,1390,5850
625000,2,1.5,1490,5750,1.5,0,0,4,7,1190,300,115,no,1590,4025
1060000,4,5.25,4140,14757,2,0,2,3,11,4140,0,10,no,4440,15523
307000,3,2,1790,7259,1,0,0,3,7,1390,400,35,no,1790,7700
879000,4,3,3590,89640,2,0,0,3,10,3590,0,10,no,2790,54014
422000,2,1.75,1320,2609,1,0,0,4,7,920,400,77,no,1200,4220
440000,3,2.5,1390,4997,2,0,0,3,7,1390,0,11,no,2340,4125
176000,2,1,920,2332,1,0,0,4,8,920,0,35,no,1310,2853
229500,3,1,1780,7470,1,0,0,3,7,1050,730,55,no,1780,8113
350000,2,2.5,1280,940,2,0,0,3,8,1060,220,9,no,1290,2900
2.00E+05,2,1,1730,9610,1,0,0,3,7,1380,350,53,no,1310,9812
615000,4,1.5,1980,3240,1.5,0,0,4,8,1780,200,85,no,2250,4000
525000,4,2.5,2520,7731,2,0,0,3,9,2520,0,21,no,2000,7704
625000,4,2.25,2470,17008,2,0,0,4,8,2470,0,36,no,2470,31798
991500,4,3,3820,26895,2,0,2,3,11,3820,0,20,no,3820,24751
425000,3,2.5,1340,10018,1,0,0,4,7,1340,0,39,no,2520,13068
775000,4,2.5,2070,8473,1,0,0,4,8,1250,820,39,no,2070,9499
671500,3,2.5,1770,1714,3,0,0,3,8,1770,0,3,no,1720,3360
480000,5,2.5,2160,7737,2,0,0,3,7,2160,0,17,no,2460,7737
619400,4,2,2090,3610,1.5,0,0,5,7,1790,300,88,no,1660,3767
635000,4,3.25,3420,6752,2,0,2,3,9,3030,390,3,no,3010,5172
255000,2,1,1220,2500,1,0,0,3,6,770,450,105,no,1540,3000
705000,3,2.5,2820,7200,1,0,3,3,9,1780,1040,36,no,2300,7200
330000,4,2,1180,7275,1,0,0,3,7,1180,0,50,no,1210,7275
520000,2,1,1250,3708,1.5,0,0,3,7,1250,0,89,no,1430,3708
605500,3,2.5,2830,6536,2,0,0,3,9,2830,0,26,no,2710,6954
707500,3,1,1500,2555,2,0,2,3,7,1500,0,105,no,1820,2555
230000,3,1.75,1140,1165,2,0,0,3,8,1140,0,1,no,1150,1552
205000,3,1,1010,8800,1,0,0,4,7,1010,0,47,no,1550,7700
515000,3,2.5,1820,5280,1,0,0,4,7,910,910,66,no,1600,4820
357000,3,2,2460,53882,1,1,4,3,7,2460,0,60,no,2660,32625
244500,3,1.75,1210,8864,1,0,0,3,7,1210,0,30,no,1510,8062
278000,3,2.25,2120,9804,2,0,0,3,7,2120,0,21,no,2120,7200
650000,6,2.75,3610,10003,1.5,0,0,4,8,3610,0,49,no,2560,10004
441500,3,2.5,2360,4670,2,0,0,3,7,2360,0,17,no,2420,5620
280000,3,2.75,1740,5639,1,0,3,3,7,1740,0,5,no,2380,5331
607000,3,1,1230,8114,1,0,0,4,7,1230,0,64,no,2220,8114
380000,3,2.25,1600,39848,1,0,3,4,8,1600,0,57,no,1600,39848
6.00E+05,5,2.25,2760,6350,1,0,0,3,7,1380,1380,57,no,2060,6342
394999,3,1.5,1730,7800,1,0,0,3,7,1330,400,57,no,1780,8309
1580000,4,3.5,5830,131116,2,0,0,3,11,5830,0,10,no,5340,207206
267000,3,1.75,1440,10920,1,0,0,4,8,1440,0,38,no,1720,8260
625000,3,1,1240,4080,1,0,0,3,7,1240,0,90,no,2060,4080
650000,4,2.75,3260,5335,2,0,0,3,9,3260,0,12,no,3180,5438
415000,1,2,3000,204732,2.5,0,2,3,8,3000,0,36,no,2330,213008
856000,3,1.5,1480,2700,1.5,0,0,3,7,1480,0,87,no,1970,4200
799000,4,2.5,3400,6742,2,0,0,3,9,3400,0,11,no,2970,6909
507250,3,2.5,2270,5536,2,0,0,3,8,2270,0,12,no,2270,5731
675000,3,2.5,2250,4134,2,0,0,3,9,2250,0,11,no,2390,4134
485000,3,1.5,1870,7853,1,0,0,3,7,1300,570,53,no,1870,8300
265000,2,1,820,8423,1,0,2,3,6,820,0,58,no,1960,9140
425000,3,2.25,1790,10209,1,0,0,3,7,1290,500,48,no,1840,9900
430000,2,2.5,2420,60984,2,0,0,3,7,2420,0,8,no,1940,193842
635500,3,2,1660,3600,1,0,0,3,7,1000,660,76,yes,1700,4356
780000,3,2.25,2130,11782,1,0,0,4,8,1590,540,38,no,2700,11782
525000,5,3.25,2480,10277,2,0,0,5,8,1640,840,22,no,2270,10277
760000,4,3.25,2690,3995,2,0,0,3,9,2060,630,1,no,1810,4590
370000,3,1.5,1360,1167,3,0,0,3,8,1360,0,7,no,1360,1167
540000,4,2.75,2830,7334,2,0,0,3,8,2830,0,10,no,2830,7378
450000,3,2,2290,16258,1,0,0,5,8,2290,0,55,no,1660,10530
862500,4,2.5,3220,4400,2,0,2,3,9,2180,1040,78,no,3000,5000
320000,4,2.25,2000,10374,2,0,1,4,7,2000,0,48,no,2170,10374
282000,4,1.75,1660,10725,1,0,0,3,7,960,700,59,no,1340,9023
725000,3,1.75,1920,3300,1,0,0,4,8,960,960,102,no,1740,4000
320000,2,1,950,5316,1,0,2,3,7,950,0,67,no,1620,6085
760000,3,2.5,2280,12746,1,0,0,4,8,1490,790,42,no,2100,12746
725000,6,3,2480,12000,2,0,0,3,8,2480,0,43,no,2220,8580
895000,4,3,3570,10273,1.5,0,3,3,9,2630,940,80,yes,3640,15324
5.00E+05,3,1,1440,54315,1,0,0,3,7,790,650,41,no,2690,40518
650000,3,2,1340,2720,1.5,0,0,3,7,1340,0,102,no,2030,4590
1090000,3,3,2830,6041,2,0,3,3,8,1840,990,100,no,3420,6360
675000,4,2.25,2260,8715,1,0,0,4,8,1530,730,39,no,2220,8650
422500,3,1,1270,8920,1,0,0,5,7,1270,0,46,no,1590,8589
387000,3,1.5,1340,6500,1,0,0,3,7,1340,0,43,no,1620,7107
1950000,4,3.25,7420,167869,2,0,3,3,12,7420,0,13,no,5610,169549
2200000,4,3,3540,11098,2,0,0,3,10,3000,540,75,no,3430,8214
598000,4,2.5,3130,40918,2,0,0,3,9,3130,0,21,no,2760,35440
269900,4,1.75,1530,8750,1.5,0,0,4,7,1530,0,47,no,1390,8750
411000,4,2.75,2150,9915,1,0,0,5,8,1240,910,39,no,1980,9325
187000,2,1,860,5400,1,0,0,4,5,860,0,62,no,960,5400
294000,2,2.5,1380,889,2,0,0,3,7,1140,240,3,no,1580,1397
615000,4,1,1340,2006,1.5,0,0,3,7,1340,0,84,no,2040,3625
375000,6,2,1900,8057,1,0,0,4,7,1170,730,56,no,2090,8626
815000,5,3.5,3500,10794,2,0,0,3,10,3500,0,19,no,3110,10837
